YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1990,Total Electric Power Industry,Total,"100,059,737"
1990,Total Electric Power Industry,Coal,"67,066,870"
1990,Total Electric Power Industry,Hydroelectric Conventional,"1,627,918"
1990,Total Electric Power Industry,Natural Gas,"7,837,956"
1990,Total Electric Power Industry,Nuclear,"21,610,500"
1990,Total Electric Power Industry,Other Biomass,"310,842"
1990,Total Electric Power Industry,Other Gases,"340,949"
1990,Total Electric Power Industry,Petroleum,"861,725"
1990,Total Electric Power Industry,Pumped Storage,"-694,986"
1990,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,097,963"
1990,"Electric Generators, Independent Power Producers",Total,"638,997"
1990,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"111,986"
1990,"Electric Generators, Independent Power Producers",Natural Gas,"4,014"
1990,"Electric Generators, Independent Power Producers",Other Biomass,"135,097"
1990,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"387,900"
1990,"Electric Generators, Electric Utilities",Total,"89,058,681"
1990,"Electric Generators, Electric Utilities",Coal,"65,295,742"
1990,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,492,822"
1990,"Electric Generators, Electric Utilities",Natural Gas,"665,142"
1990,"Electric Generators, Electric Utilities",Nuclear,"21,610,500"
1990,"Electric Generators, Electric Utilities",Petroleum,"689,461"
1990,"Electric Generators, Electric Utilities",Pumped Storage,"-694,986"
1990,"Combined Heat and Power, Industrial Power",Total,"3,597,090"
1990,"Combined Heat and Power, Industrial Power",Coal,"1,378,933"
1990,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"23,110"
1990,"Combined Heat and Power, Industrial Power",Natural Gas,"978,650"
1990,"Combined Heat and Power, Industrial Power",Other Biomass,"1,436"
1990,"Combined Heat and Power, Industrial Power",Other Gases,"340,949"
1990,"Combined Heat and Power, Industrial Power",Petroleum,"169,150"
1990,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"704,862"
1990,"Combined Heat and Power, Electric Power",Total,"6,353,648"
1990,"Combined Heat and Power, Electric Power",Coal,"186,085"
1990,"Combined Heat and Power, Electric Power",Natural Gas,"6,162,052"
